,epoch,train_loss,val_loss,val_accuracy
0,1.0,2.0685455384605427,1.2392603023060693,0.7088281439586483
1,2.0,1.0977573686408784,1.0439154042581265,0.7504312234839027
2,3.0,0.9430653306351314,0.9796919874337348,0.7677585823917925
3,4.0,0.8600939462786173,0.9628410008450577,0.7726893620388771
4,5.0,0.8030076210982566,0.9318302551078338,0.7848029202486025
5,6.0,0.7604941653977781,0.9247912974617916,0.7866265680235964
6,7.0,0.7259920748788121,0.9103204442433198,0.7933044755847592
7,8.0,0.6984524905798497,0.9142298863643983,0.7933819784041857
8,9.0,0.6742596098014242,0.9273621007481415,0.7918809167549556
9,10.0,0.6538537015231829,0.9323254376275847,0.7919139599215362
