,epoch,train_loss,val_loss,val_accuracy
0,1.0,4.590749434505916,3.055289281060371,0.3698050530269876
1,2.0,2.23975566986075,1.7782622085308784,0.5946646167857772
2,3.0,1.5704057903925037,1.453584850732065,0.6682126754680631
3,4.0,1.3452175873481365,1.3108778487336956,0.7056663533924107
4,5.0,1.2229252867004203,1.2177888333822389,0.7273051097784468
5,6.0,1.1417580006574242,1.1584296529947826,0.7393687030235768
6,7.0,1.0822247403870222,1.1155109294249757,0.7498505811292268
7,8.0,1.0356705230970853,1.0794116595759597,0.7590831357352522
8,9.0,0.998035592958185,1.0479368909093232,0.7657585715298612
9,10.0,0.9666213916592978,1.0242918190959107,0.7729660357492734
