,epoch,train_loss,val_loss,val_accuracy
0,1.0,1.9039792238878945,1.5143883320620009,0.6696725285364282
1,2.0,1.4372344788343614,1.417193883820773,0.6902599156589913
2,3.0,1.3562853510090846,1.375587348028148,0.7007899674418546
3,4.0,1.3159721767455086,1.367827034282076,0.7026976222294348
4,5.0,1.2927701638530074,1.3496970893436087,0.709047381907138
5,6.0,1.2765159025147377,1.334003935340707,0.7127299602992784
6,7.0,1.267548988918679,1.3301879463959279,0.7182687773622898
7,8.0,1.2591603321052873,1.326072703468029,0.7170817258262779
8,9.0,1.2541375485085586,1.3478900547233044,0.714981307345743
9,10.0,1.2505404984160862,1.3368844170683574,0.7210604035173978
